0x0-0|(0.02200771,0.02432600)(0.04649309,0.07574342)|0.00000000|
0x1-0|(0.03514601,0.02546811)(0.04948615,0.07710233)|0.00000002|
0x2-0|(0.06701396,0.02445610)(0.06913993,0.03595364)|0.00000005|
0x3-0|(0.09303536,0.02218695)(0.05679889,0.04771887)|0.00000018|
0x4-0|(0.11871617,0.01966755)(0.06172457,0.05895019)|0.00000011|
0x5-0|(0.14417374,0.01816897)(0.05294276,0.06372307)|0.00000004|
0x6-0|(0.16913426,0.01898754)(0.05111023,0.06883115)|0.00000002|
0x7-0|(0.19730203,0.01819265)(0.04552201,0.08109795)|0.00000002|
0x8-0|(0.22465643,0.01932674)(0.04245238,0.08610914)|0.00000004|
0x9-0|(0.25202426,0.02097709)(0.03683494,0.09384150)|0.00000002|
0x10-0|(0.27888420,0.02173402)(0.03850563,0.09004807)|0.00000001|
0x11-0|(0.30466738,0.02213377)(0.03782720,0.09326169)|0.00000001|
0x12-0|(0.32980037,0.02222366)(0.03428230,0.10414265)|0.00000001|
0x13-0|(0.35572124,0.02258425)(0.03165151,0.10608442)|0.00000000|
0x14-0|(0.38303748,0.02221777)(0.03105271,0.11121360)|0.00000000|
0x15-0|(0.41063938,0.02198784)(0.03097958,0.11292172)|0.00000000|
0x16-0|(0.43756258,0.02255289)(0.03177568,0.10984079)|0.00000001|
0x17-0|(0.46371365,0.02261906)(0.03306004,0.10669515)|0.00000001|
0x18-0|(0.48954320,0.02285058)(0.03394759,0.10209632)|0.00000003|
0x19-0|(0.51532692,0.02295624)(0.03443269,0.09975112)|0.00000004|
0x20-0|(0.54208100,0.02307878)(0.03460887,0.09933195)|0.00000003|
0x21-0|(0.56825620,0.02311188)(0.03443775,0.09913098)|0.00000003|
0x22-0|(0.59441930,0.02287580)(0.03484451,0.09794370)|0.00000003|
0x23-0|(0.62041438,0.02252357)(0.03737779,0.09244232)|0.00000003|
0x24-0|(0.64707339,0.02208587)(0.03914934,0.08925462)|0.00000007|
0x25-0|(0.67212230,0.02081889)(0.04131122,0.08570882)|0.00000005|
0x26-0|(0.69803244,0.01961646)(0.04129494,0.08774660)|0.00000003|
0x27-0|(0.72364759,0.01879804)(0.04234903,0.08601852)|0.00000002|
0x28-0|(0.75125170,0.01891224)(0.04554510,0.08181996)|0.00000001|
0x29-0|(0.77766401,0.01781132)(0.05038199,0.07080674)|0.00000001|
0x30-0|(0.80380553,0.01746091)(0.05108029,0.06180105)|0.00000001|
0x31-0|(0.82645917,0.01899464)(0.05115621,0.05797750)|0.00000001|
0x32-0|(0.84993351,0.01894960)(0.04908406,0.05669748)|0.00000002|
0x33-0|(0.88504571,0.01575521)(0.05233283,0.04499306)|0.00000000|
0x34-0|(0.91487551,0.01938958)(0.06238526,0.04396676)|0.00000000|
0x35-0|(0.94681358,0.01795569)(0.08181528,0.02342840)|0.00000000|
0x36-0|(0.94754553,0.02566303)(0.05057849,0.02897594)|0.00000000|
0x37-0|(0.98793364,0.01534929)(0.01050872,0.12391752)|0.00000000|
1x0-0|(0.02419683,0.03503392)(0.05846578,0.07750666)|0.00000001|
1x1-0|(0.03530502,0.03735793)(0.04505609,0.08992061)|0.00000012|
1x2-0|(0.06337851,0.03379964)(0.04981908,0.03910769)|0.00000010|
1x3-0|(0.09319378,0.03602251)(0.04463015,0.06018311)|0.00000006|
1x4-0|(0.11401720,0.04113010)(0.04762300,0.08206313)|0.00000032|
1x5-0|(0.13733596,0.04049621)(0.04531117,0.07709697)|0.00000015|
1x6-0|(0.17130312,0.03613844)(0.05568467,0.07386172)|0.00000010|
1x7-0|(0.20078187,0.03570747)(0.05375214,0.08451786)|0.00000064|
1x8-0|(0.22738533,0.03621976)(0.05302117,0.09325207)|0.00000131|
1x9-0|(0.25425047,0.03677049)(0.04447075,0.09916365)|0.00000071|
1x10-0|(0.28122562,0.03785746)(0.04579213,0.09762636)|0.00000009|
1x11-0|(0.30878717,0.03986730)(0.04923687,0.09431043)|0.00000005|
1x12-0|(0.33222318,0.04007566)(0.05064307,0.10509618)|0.00000008|
1x13-0|(0.35669813,0.03910794)(0.05308814,0.10410650)|0.00000007|
1x14-0|(0.38417828,0.03818030)(0.05390198,0.09926545)|0.00000002|
1x15-0|(0.41153088,0.03863400)(0.05256484,0.10111196)|0.00000004|
1x16-0|(0.43609399,0.03842474)(0.05182246,0.10727032)|0.00000012|
1x17-0|(0.46169814,0.03906392)(0.05355022,0.10844179)|0.00000015|
1x18-0|(0.48861018,0.03848742)(0.05308624,0.10854837)|0.00000011|
1x19-0|(0.51548868,0.03762896)(0.05413445,0.10462473)|0.00000012|
1x20-0|(0.54201728,0.03760636)(0.05457762,0.10115977)|0.00000009|
1x21-0|(0.56772417,0.03747721)(0.05423628,0.09798925)|0.00000008|
1x22-0|(0.59352714,0.03725607)(0.05201453,0.09568908)|0.00000006|
1x23-0|(0.62108111,0.03890353)(0.05194496,0.09047035)|0.00000009|
1x24-0|(0.64550763,0.04109423)(0.05163052,0.09106773)|0.00000021|
1x25-0|(0.67070371,0.04053636)(0.05431677,0.09345132)|0.00000010|
1x26-0|(0.69840240,0.03951547)(0.04869307,0.10153285)|0.00000009|
1x27-0|(0.72756624,0.04194482)(0.05050630,0.09556166)|0.00000018|
1x28-0|(0.75107151,0.04456804)(0.05119951,0.09334189)|0.00000025|
1x29-0|(0.77731174,0.04528954)(0.04962011,0.09084003)|0.00000013|
1x30-0|(0.80306906,0.04397406)(0.04746750,0.08447381)|0.00000005|
1x31-0|(0.82923436,0.04285326)(0.04928839,0.07128221)|0.00000002|
1x32-0|(0.85356343,0.04000647)(0.04730929,0.07103538)|0.00000016|
1x33-0|(0.87641287,0.03508039)(0.06217043,0.06099880)|0.00000000|
1x34-0|(0.90535343,0.03357391)(0.05007352,0.10080271)|0.00000000|
1x35-0|(0.93846244,0.03574593)(0.06460213,0.10732766)|0.00000000|
